sequence,sequence_ID,trial,individual_ID,pair_ID,age,accuracy,set_number,within_trial,generation,Compression_ratio,Depth_of_hierarchy2,Number_of_chunks,Size_of_chunks,Entropy,age_f,condition
RBRGRYBRRRYBR,3000001,1,0,0,7,0.5384615384615384,1,1,Child,0.5384615384615384,2,4,3,1.1569876443452742,7,2
GYGBYRBGYRYGR,3000002,2,0,0,7,0.5384615384615384,1,2,Child,0.7692307692307693,1,2,2,1.3516811946858949,7,2
RBYRRRBGYRYGB,3000003,3,0,0,7,0.3076923076923077,1,3,Child,0.7692307692307693,1,2,4,1.3322449224385329,7,2
GGRYYRBGGGRRR,3000004,4,0,0,7,0.6153846153846154,1,4,Child,0.7692307692307693,1,2,2,1.2202821662722372,7,2
RBGYRRBGYRRBG,3000005,5,0,0,7,0.9230769230769232,1,5,Child,0.3076923076923077,2,5,3,1.3322449224385329,7,2
RRYGBRRBYGGRY,3000006,6,0,0,7,0.6153846153846154,1,6,Child,0.7692307692307693,1,2,4,1.3322449224385329,7,2
RBGYRBGYRRRBG,3000007,7,0,0,7,1.0,1,7,Child,0.46153846153846156,2,4,3,1.3322449224385329,7,2
RRYGRRBYGRRYG,3000008,8,0,0,7,0.6153846153846154,1,8,Child,0.5384615384615384,2,4,4,1.2309316230479224,7,2
BYRBGYBBGYBBY,3000009,9,0,0,7,0.3846153846153846,2,1,Child,0.46153846153846156,1,4,4,1.2047933096947843,7,2
RYRYRRBRGBBRY,3000010,10,0,0,7,0.6923076923076923,2,2,Child,0.7692307692307693,1,2,4,1.2309316230479224,7,2
RBYGRBYRRBYGY,3000011,11,0,0,7,0.7692307692307692,2,3,Child,0.6153846153846154,2,4,3,1.3516811946858949,7,2
RRYRBRYGBRYGB,3000012,12,0,0,7,0.6153846153846154,2,4,Child,0.46153846153846156,2,4,3,1.3322449224385329,7,2
BYGRBYRBYGBRB,3000013,13,0,0,7,0.6923076923076923,2,5,Child,0.6153846153846154,2,3,3,1.3322449224385329,7,2
RYBRYGBRYBGRY,3000014,14,0,0,7,0.4615384615384615,2,6,Child,0.6153846153846154,2,3,4,1.3516811946858949,7,2
GBGGBRGGBRYGB,3000015,15,0,0,7,0.4615384615384615,2,7,Child,0.5384615384615384,2,4,4,1.2047933096947843,7,2
RBYRBYGRBYRBY,3000016,16,0,0,7,0.9230769230769232,2,8,Child,0.46153846153846156,2,6,2,1.2852930241200995,7,2
GYGBBYRRBYGGB,3001001,1,1,0,8,0.3846153846153846,1,1,Child,0.7692307692307693,1,2,4,1.3516811946858949,8,2
RRBGYRBYGRRRY,3001002,2,1,0,8,0.4615384615384615,1,2,Child,0.7692307692307693,1,2,2,1.2711814802605796,8,2
GGBYGRBGYYRRG,3001003,3,1,0,8,0.6153846153846154,1,3,Child,0.7692307692307693,0,0,0,1.3322449224385327,8,2
RBGYRBBGYRRBG,3001004,4,1,0,8,0.5384615384615384,1,4,Child,0.5384615384615384,1,2,5,1.3516811946858949,8,2
RYGBBRRGYBBRY,3001005,5,1,0,8,0.2307692307692307,1,5,Child,0.6153846153846154,1,3,2,1.3516811946858949,8,2
RBGYRBGYRRRBG,3001006,6,1,0,8,0.8461538461538461,1,6,Child,0.46153846153846156,2,4,3,1.3322449224385329,8,2
RRYGBRRBGYRRB,3001007,7,1,0,8,0.6923076923076923,1,7,Child,0.6153846153846154,2,3,3,1.2711814802605796,8,2
RBGYRBGYRRRBG,3001008,8,1,0,8,1.0,1,8,Child,0.46153846153846156,2,4,3,1.3322449224385329,8,2
RYRYRRBGYRRYB,3001009,9,1,0,8,0.6153846153846154,2,1,Child,0.6153846153846154,1,2,4,1.2047933096947843,8,2
RBYGRBBYRBYGR,3001010,10,1,0,8,0.3846153846153846,2,2,Child,0.5384615384615384,2,4,3,1.3516811946858949,8,2
RYRRYRBBRRYGB,3001011,11,1,0,8,0.4615384615384615,2,3,Child,0.6153846153846154,2,3,3,1.2309316230479224,8,2
RBYGRBYRRBYGR,3001012,12,1,0,8,0.9230769230769232,2,4,Child,0.5384615384615384,2,4,3,1.3322449224385329,8,2
