trial,pair_ID,condition,set_number,within_trial,pair_similarity
1,0,3,1,1,0.23076923076923073
2,0,3,1,2,0.3076923076923077
3,0,3,1,3,0.46153846153846156
4,0,3,1,4,0.3846153846153846
5,0,3,1,5,0.3846153846153846
6,0,3,1,6,0.3076923076923077
7,0,3,1,7,0.5384615384615384
8,0,3,1,8,0.5384615384615384
9,0,3,2,1,0.3846153846153846
10,0,3,2,2,0.3076923076923077
11,0,3,2,3,0.46153846153846156
12,0,3,2,4,0.46153846153846156
13,0,3,2,5,0.3076923076923077
14,0,3,2,6,0.3846153846153846
15,0,3,2,7,0.3076923076923077
16,0,3,2,8,0.3076923076923077
1,1,3,1,1,0.46153846153846156
2,1,3,1,2,0.3076923076923077
3,1,3,1,3,0.3076923076923077
4,1,3,1,4,0.3076923076923077
5,1,3,1,5,0.23076923076923073
6,1,3,1,6,0.3846153846153846
7,1,3,1,7,0.3076923076923077
8,1,3,1,8,0.5384615384615384
9,1,3,2,1,0.3846153846153846
10,1,3,2,2,0.3076923076923077
11,1,3,2,3,0.3846153846153846
12,1,3,2,4,0.3846153846153846
13,1,3,2,5,0.3846153846153846
14,1,3,2,6,0.46153846153846156
15,1,3,2,7,0.3846153846153846
16,1,3,2,8,0.3846153846153846
1,2,3,1,1,0.3846153846153846
2,2,3,1,2,0.3076923076923077
3,2,3,1,3,0.46153846153846156
4,2,3,1,4,0.46153846153846156
5,2,3,1,5,0.46153846153846156
6,2,3,1,6,0.15384615384615385
7,2,3,1,7,0.3076923076923077
8,2,3,1,8,0.23076923076923073
9,2,3,2,1,0.3076923076923077
10,2,3,2,2,0.3846153846153846
11,2,3,2,3,0.46153846153846156
12,2,3,2,4,0.5384615384615384
13,2,3,2,5,0.6153846153846154
14,2,3,2,6,0.46153846153846156
15,2,3,2,7,0.3076923076923077
16,2,3,2,8,0.3076923076923077
1,3,3,1,1,0.3076923076923077
2,3,3,1,2,0.23076923076923073
3,3,3,1,3,0.15384615384615385
4,3,3,1,4,0.6923076923076923
5,3,3,1,5,0.46153846153846156
6,3,3,1,6,0.6153846153846154
7,3,3,1,7,0.6153846153846154
8,3,3,1,8,0.7692307692307692
9,3,3,2,1,0.46153846153846156
10,3,3,2,2,0.3846153846153846
11,3,3,2,3,0.6153846153846154
12,3,3,2,4,0.46153846153846156
13,3,3,2,5,0.46153846153846156
14,3,3,2,6,0.6923076923076923
15,3,3,2,7,0.6153846153846154
16,3,3,2,8,0.5384615384615384
1,4,3,1,1,0.3846153846153846
